id,title,year,runtime,mpa_rating,imdb_rating,tomato_meter,imdb_gross,entity
1,Captain America,1944,244,Approved,5.5,0,0,MARVEL
2,Howard the Duck,1986,110,PG,4.7,13,16300000,MARVEL
3,Blade,1998,120,R,7.1,55,70090000,MARVEL
4,X-Men,2000,104,PG-13,7.4,82,157300000,MARVEL
5,Blade II,2002,117,R,6.7,57,82350000,MARVEL
6,Spider-Man,2002,121,PG-13,7.3,90,403710000,MARVEL
7,Daredevil,2003,103,PG-13,5.3,44,102540000,MARVEL
8,X2: X-Men United,2003,134,PG-13,7.4,85,214950000,MARVEL
9,Hulk,2003,138,PG-13,5.6,62,132180000,MARVEL
10,The Punisher,2004,124,R,6.4,28,33680000,MARVEL
11,Spider-Man 2,2004,127,PG-13,7.3,93,373590000,MARVEL
12,Blade: Trinity,2004,113,R,5.8,25,52410000,MARVEL
13,Elektra,2005,97,PG-13,4.7,11,24410000,MARVEL
14,Fantastic Four,2005,106,PG-13,5.7,27,154700000,MARVEL
15,X-Men: The Last Stand,2006,104,PG-13,6.7,57,234360000,MARVEL
16,Ghost Rider,2007,110,PG-13,5.3,26,115800000,MARVEL
17,Spider-Man 3,2007,139,PG-13,6.2,63,336530000,MARVEL
18,Fantastic Four: Rise of the Silver Surfer,2007,92,PG,5.6,37,131920000,MARVEL
19,Iron Man,2008,126,PG-13,7.9,94,318410000,MARVEL
20,The Incredible Hulk,2008,112,PG-13,6.7,67,134520000,MARVEL
21,Punisher: War Zone,2008,103,R,5.9,29,7950000,MARVEL
22,X-Men Origins: Wolverine,2009,107,PG-13,6.6,37,179880000,MARVEL
23,Iron Man 2,2010,124,PG-13,7.0,72,312430000,MARVEL
24,Thor,2011,115,PG-13,7.0,77,181030000,MARVEL
25,X: First Class,2011,131,PG-13,7.7,86,146410000,MARVEL
26,Captain America: The First Avenger,2011,124,PG-13,6.9,80,176650000,MARVEL
27,Ghost Rider: Spirit of Vengeance,2011,96,PG-13,4.3,18,51770000,MARVEL
28,The Avengers,2012,143,PG-13,8.0,91,623280000,MARVEL
29,The Amazing Spider-Man,2012,136,PG-13,6.9,72,262030000,MARVEL
30,Iron Man Three,2013,130,PG-13,7.1,79,409010000,MARVEL
31,The Wolverine,2013,126,PG-13,6.7,71,132560000,MARVEL
32,Thor: The Dark World,2013,112,PG-13,6.9,66,206360000,MARVEL
33,Captain America: The Winter Soldier,2014,136,PG-13,7.7,90,259770000,MARVEL
34,The Amazing Spider-Man 2,2014,142,PG-13,6.6,51,202850000,MARVEL
35,X-Men: Days of Future Past,2014,132,PG-13,7.9,90,233920000,MARVEL
36,Guardians of the Galaxy,2014,121,PG-13,8.0,92,333180000,MARVEL
37,Avengers: Age of Ultron,2015,141,PG-13,7.3,76,459010000,MARVEL
38,Ant-Man,2015,117,PG-13,7.3,83,180200000,MARVEL
39,Fantastic Four,2015,100,PG-13,4.2,9,56120000,MARVEL
40,Deadpool,2016,108,R,8.0,85,363070000,MARVEL
41,Captain America: Civil War,2016,147,PG-13,7.8,90,408080000,MARVEL
42,X-Men: Apocalypse,2016,144,PG-13,6.9,47,155440000,MARVEL
43,Doctor Strange,2016,115,PG-13,7.5,89,232640000,MARVEL
44,Logan,2017,137,R,8.1,93,226280000,MARVEL
45,Guardians of the Galaxy Vol. 2,2017,136,PG-13,7.6,85,389810000,MARVEL
46,Spider-Man: Homecoming,2017,133,PG-13,7.4,92,334200000,MARVEL
47,Thor: Ragnarok,2017,130,PG-13,7.9,93,315060000,MARVEL
48,Black Panther,2018,134,PG-13,7.3,96,700060000,MARVEL
